interface,intf_op_status,vrf,ip_address
ge-0/0/9.1110,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/9.1111,down,vpnmonitor,inet,5.125.63.13/30
ge-0/0/9.1112,down,RadioShack,inet,10.16.245.1/30
ge-0/0/9.1113,down,BARAKA,inet,100.0.1.1/30
ge-0/0/9.1114,down,vpnmonitor,inet,5.120.169.113/30
ge-0/0/9.1115,down,DHCP,inet,172.16.1.1/30
ge-0/0/9.1116,down,DHCP,inet,10.10.1.1/2
ge-0/0/9.1117,down,default,inet,172.17.144.89/30
ge-0/0/9.1118,down,default,inet,41.33.168.121/30
ge-0/0/9.1119,down,default,inet,172.123.123.1/30
ge-0/0/9.1120,down,faisal_MIST-EFM,inet,5.19.40.13/30
ge-0/0/9.1124,down,vpnmonitor,inet,5.125.34.249/30
ge-0/0/9.1125,down,CZECH,inet,194.108.140.49/30
ge-0/0/9.1126,down,vpnmonitor,inet,5.120.162.37/30
ge-0/0/9.1127,down,SFD,inet,172.16.102.1/30
ge-0/0/9.1131,down,Ingredients,inet,172.16.129.1/30
ge-0/0/9.1132,down,vpnmonitor,inet,5.125.62.73/30
ge-0/0/9.1134,down,vpnmonitor,inet,5.125.34.245/30
ge-0/0/9.1135,down,SFD,inet,172.16.227.1/30
ge-0/0/9.1140,down,vpnmonitor,inet,5.125.20.69/30
ge-0/0/9.1141,down,default,inet,172.17.154.253/30
ge-0/0/9.1144,down,default,inet,5.125.36.1/30
ge-0/0/9.1146,down,default,inet,172.91.91.1/30
ge-0/0/9.1148,down,vpnmonitor,inet,5.125.42.169/30
ge-0/0/9.1149,down,default,inet,172.17.191.13/30
ge-0/0/9.1150,down,vpnmonitor,inet,5.120.172.105/30
ge-0/0/9.1151,down,vpnmonitor,inet,5.125.42.173/30
ge-0/0/9.1152,down,default,inet,172.17.191.65/30
ge-0/0/9.1153,down,vpnmonitor,inet,5.125.32.241/30
ge-0/0/9.1154,down,default,inet,172.17.174.81/30
ge-0/0/9.1156,down,default,inet,172.17.186.205/30
ge-0/0/9.1159,down,vpnmonitor,inet,5.3.40.21/30
ge-0/0/9.1160,down,cibc,inet,172.16.6.5/30
ge-0/0/9.1164,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/9.1165,down,Finance-Ministry,inet,172.234.9.33/30
ge-0/0/9.1166,down,vpnmonitor,inet,5.125.36.1/30
ge-0/0/9.1168,down,default,inet,172.17.220.77/30
ge-0/0/9.1169,down,vpnmonitor,inet,5.125.254.33/30
ge-0/0/9.1171,down,vpnmonitor,inet,5.125.10.137/30
ge-0/0/9.1172,down,default,inet,172.16.160.17/30
ge-0/0/9.1175,down,default,inet,172.17.161.153/30
ge-0/0/9.1177,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/9.1178,down,OEC,inet,172.27.250.1/30
ge-0/0/9.1179,down,vpnmonitor,inet,5.120.247.37/30
ge-0/0/9.1198,down,vpnmonitor,inet,5.125.32.221/30
ge-0/0/9.1199,down,default,inet,172.17.174.77/30
ge-0/0/9.1203,down,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/9.1220,down,vpnmonitor,inet,5.125.20.61/30
ge-0/0/9.1224,down,audibank,inet,172.20.46.161/30
ge-0/0/9.1225,down,default,inet,172.17.139.181/30
ge-0/0/9.1237,down,vpnmonitor,inet,172.12.37.1/30
ge-0/0/9.1242,down,vpnmonitor,inet,5.125.22.189/30
ge-0/0/9.1243,down,default,inet,172.17.138.233/30
ge-0/0/9.1244,down,vpnmonitor,inet,5.125.61.149/30
ge-0/0/9.1245,down,default,inet,172.17.218.81/30
ge-0/0/9.1246,down,vpnmonitor,inet,5.125.22.241/30
ge-0/0/9.1247,down,default,inet,172.17.161.249/30
ge-0/0/9.1251,down,vpnmonitor,inet,5.120.195.10/30
ge-0/0/9.1254,down,vpnmonitor,inet,172.17.54.1/30
ge-0/0/9.1255,down,vpnmonitor,inet,172.17.55.1/30
ge-0/0/9.1256,down,vpnmonitor,inet,41.33.168.69/30
ge-0/0/9.1256,down,vpnmonitor,inet,172.17.56.1/30
